name,judgeTitle,judgeFullName,email,role,section
Sterrett,Judge,Sterrett,legacy.judge.sterrett@example.com,legacyJudge,legacyJudgesChambers
Swift,Judge,Swift,legacy.judge.swift@example.com,legacyJudge,legacyJudgesChambers
Tannenwald,Judge,Tannenwald,legacy.judge.tannenwald@example.com,legacyJudge,legacyJudgesChambers
Thornton,Senior Judge,Michael B. Thornton,judge.thornton@example.com,judge,thorntonsChambers
Toro,Judge,Emin Toro,judge.toro@example.com,judge,torosChambers
Urda,Judge,Patrick J. Urda,judge.urda@example.com,judge,urdasChambers
Vandervort,Special Trial Judge,Vandervort,legacy.judge.vandervort@example.com,legacyJudge,legacyJudgesChambers
Vasquez,Senior Judge,Juan F. Vasquez,judge.vasquez@example.com,judge,vasquezsChambers
Weiler,Judge,Christian N. Weiler,judge.weiler@example.com,judge,weilersChambers
Wells,Judge,Thomas B. Wells,judge.wells@example.com,judge,wellsChambers
Whalen,Judge,Whalen,legacy.judge.whalen@example.com,legacyJudge,legacyJudgesChambers
Wherry,Judge,Wherry,legacy.judge.wherry@example.com,legacyJudge,legacyJudgesChambers
Whitaker,Judge,Whitaker,legacy.judge.whitaker@example.com,legacyJudge,legacyJudgesChambers
Wilbur,Judge,Wilbur,legacy.judge.wilbur@example.com,legacyJudge,legacyJudgesChambers
Wiles,Judge,Wiles,legacy.judge.wiles@example.com,legacyJudge,legacyJudgesChambers
Williams,Judge,Williams,legacy.judge.williams@example.com,legacyJudge,legacyJudgesChambers
Wolfe,Special Trial Judge,Wolfe,legacy.judge.wolfe@example.com,legacyJudge,legacyJudgesChambers
Wright,Judge,Wright,legacy.judge.wright@example.com,legacyJudge,legacyJudgesChambers
